AGENTS.md	20	[COMPLETE]	Commit and push every completed iteration.
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	17	[CANONICAL]	- **Action**: Draft file `four-layer-one-world-framework.md` marked `SUPERSEDED`. `FIVE_POINT_FRAMEWORK.md` and `REVOLUTION.md` are sole canonical doc
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	19	[SUPERSEDED]	### 3. Could a new instance misread superseded files?
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	21	[SUPERSEDED]	- **Action**: Added YAML frontmatter status headers (`status: SUPERSEDED` / `HISTORICAL_FAILURE`) to prevent misreading.
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	23	[CURRENT]	### 4. Are current phase, verdict, and next action independently logged on disk?
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	25	[CURRENT]	- **Action**: `state/CURRENT_PHASE.md` is sole source for phase, `state/CURRENT_VERDICT.md` is sole source for verdicts, `state/NEXT_ACTION.md` is sol
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	31	[CURRENT]	### 6. Are historical evidence and current knowledge mixed together?
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	39	[CURRENT]	### 8. Does the current structure express "files are memory, structure is gene"?
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	40	[NOT YET]	- **Status**: `STRUCTURE ESTABLISHED (STATE MODEL REPAIRED, RECOVERABILITY NOT YET TESTED)`.
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	49	[CURRENT]	1. **Static Self-Referential Commit Tracking Removed**: Excised static `Current Commit` fields from `HELLO.md` and `Pending Commit` from `SESSION_LOG.
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	50	[CANONICAL]	2. **Duplicate Verdict Tables Excised**: Removed parallel verdict tables from `CURRENT_PHASE.md`. `CURRENT_VERDICT.md` is now the sole canonical sourc
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	53	[CONFIRMED]	- `Migration Normalized Payload Fidelity`: Rated `CONFIRMED — 31/31 normalized text-equivalent`. Exact byte equality is NOT claimed.
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	54	[HISTORICAL]	- `Citation Examination`: Reclassified as `HALTED — HISTORICAL FAILURE / EVIDENCE ONLY`.
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	55	[REJECTED]	- `State Consistency`: Rated `REJECTED / UNDER REPAIR`.
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	56	[NOT YET]	- `Cold-Start Recoverability`: Rated `NOT YET TESTED`.
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	65	[CURRENT]	| File Path | Current Role | Authority Status | Classification | Cold-Start Read | Supersedes / Superseded By | Recommended Action |
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	67	[CANONICAL]	| `WAKE.md` | Single Re-entry Entrance | `CANONICAL` | `ENTRY` | **MANDATORY (1st)** | N/A | Maintain as minimal wake-up instructions |
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	68	[CANONICAL]	| `MEMORY_MAP.md` | Structural Memory Navigation | `CANONICAL` | `ENTRY` | **MANDATORY (5th)** | N/A | Maintain as master directory map |
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	69	[CANONICAL]	| `AGENTS.md` | Neutral Operating Rules | `CANONICAL` | `PROTOCOL` | **CONDITIONAL** | N/A | Preserved |
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	70	[CANONICAL]	| `CHARTER.md` | Clean-Room Lab Charter | `CANONICAL` | `DOCTRINE` | **CONDITIONAL** | N/A | Preserved |
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	71	[CANONICAL]	| `INVARIANTS.md` | Immutable Safety Rules | `CANONICAL` | `DOCTRINE` | **CONDITIONAL** | N/A | Preserved |
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	72	[CANONICAL]	| `REVOLUTION.md` | Core Architectural Manifesto | `CANONICAL` | `DOCTRINE` | **MANDATORY (6th)** | Supersedes legacy letters | Maintain as foundation
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	73	[CANONICAL]	| `state/CURRENT_PHASE.md` | Operational Phase Status | `CANONICAL` | `CURRENT_STATE` | **MANDATORY (2nd)** | Sole source for phase | Update on phase 
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	74	[CANONICAL]	| `state/CURRENT_VERDICT.md` | Confirmed/Withheld Verdicts | `CANONICAL` | `CURRENT_STATE` | **MANDATORY (3rd)** | Sole source for verdicts | Update o
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	75	[CANONICAL]	| `state/NEXT_ACTION.md` | Single Authorized Action | `CANONICAL` | `CURRENT_STATE` | **MANDATORY (4th)** | Sole source for next action | Update to en
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	76	[CANONICAL]	| `state/OPEN_QUESTIONS.md` | Unresolved Issues Register | `CANONICAL` | `CURRENT_STATE` | **CONDITIONAL** | N/A | Track open design questions |
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	77	[CANONICAL]	| `state/STATE_MODEL.md` | Single Sources & Rules | `CANONICAL` | `CURRENT_STATE` | **CONDITIONAL** | N/A | Defines anti-duplication rules |
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	79	[HISTORICAL]	| `handoff/SESSION_LOG.md` | Append-Only Milestone Log | `HISTORICAL` | `HANDOFF` | **NO** | N/A | Append milestones chronologically |
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	80	[CANONICAL]	| `research/synthesis/FIVE_POINT_FRAMEWORK.md` | Canonical 4-Layer 1-World Spec | `CANONICAL` | `DOCTRINE` | **MANDATORY (7th)** | Supersedes `four-la
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	81	[CANONICAL]	| `research/synthesis/LLM_WIKI_CURRENT_KNOWLEDGE_SYSTEM.md` | LLM Wiki Architecture Spec | `CANONICAL` | `DOCTRINE` | **CONDITIONAL** | N/A | Canonica
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	82	[SUPERSEDED]	| `research/synthesis/four-layer-one-world-framework.md` | Draft 5-Component Framework | `SUPERSEDED` | `SUPERSEDED` | **PROHIBITED** | Superseded by 
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	83	[SUPERSEDED]	| `research/audit/framework-verification-status.md` | Draft Verification Status | `SUPERSEDED` | `SUPERSEDED` | **PROHIBITED** | Superseded by `MIGRAT
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	84	[CANONICAL]	| `research/audit/MIGRATION_GAP_AUDIT.md` | Migration Gap Audit | `CANONICAL` | `EVIDENCE` | **CONDITIONAL** | Supersedes draft audit | Maintain as mi
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	85	[CANONICAL]	| `research/audit/REMOTE_FIRST_AUDIT_METHOD.md` | 7-Step Remote Push Audit Spec | `CANONICAL` | `PROTOCOL` | **CONDITIONAL** | N/A | Enforce on git pu
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	86	[CANONICAL]	| `research/migration/MIGRATION_MANIFEST.json` | 31-File Migration Manifest | `CANONICAL` | `EVIDENCE` | **CONDITIONAL** | N/A | Verified 31-file payl
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	87	[CANONICAL]	| `research/migration/verify_migration.js` | Verification Fix 0.2.2 Script | `CANONICAL` | `OPERATOR_ONLY` | **NO** | Supersedes draft verifier | Exec
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	88	[HISTORICAL]	| `research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md` | Citation Remediation Exam v2.0 | `HISTORICAL` | `EVIDENCE` | **NO** | Reclassif
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	89	[HISTORICAL]	| `research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json` | Source Register Schema 2.0 | `HISTORICAL` | `EVIDENCE` | **NO** | Reclassified a
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	90	[HISTORICAL]	| `research/legacy-evidence/` | Migrated Legacy Evidence (31 Files) | `HISTORICAL` | `EVIDENCE` | **NO** | Source commit `c073099481f9faa3...` | Prese
research/audit/REMOTE_FIRST_AUDIT_METHOD.md	25	[CANONICAL]	6. **Knowledge Synthesis**: Update canonical doctrine or knowledge pages.
research/audit/REMOTE_FIRST_AUDIT_METHOD.md	26	[CONFIRMED]	7. **Outside Reviewer Verdict**: Assign explicit epistemic status (`CONFIRMED`, `PARTIAL`, `INCONCLUSIVE`, `REJECTED`).
research/audit/REMOTE_FIRST_AUDIT_METHOD.md	32	[CONFIRMED]	- **`CONFIRMED`**: Claim is fully backed by reproducible, un-truncated raw execution logs and committed code.
research/audit/REMOTE_FIRST_AUDIT_METHOD.md	33	[PARTIAL]	- **`PARTIAL`**: Implementation or evidence exists but contains known gaps or unverified assumptions.
research/audit/REMOTE_FIRST_AUDIT_METHOD.md	34	[COMPLETE]	- **`INCONCLUSIVE`**: Evidence is incomplete, ambiguous, or requires further refinement.
research/audit/REMOTE_FIRST_AUDIT_METHOD.md	35	[REJECTED]	- **`REJECTED`**: Claim failed verification, contained hardcoded shortcuts, or violated invariants.
research/audit/REMOTE_FIRST_AUDIT_METHOD.md	36	[CLAIMED-NOT-EVIDENCED]	- **`CLAIMED-NOT-EVIDENCED`**: Feature or metric is asserted in documentation but lacks raw execution log evidence.
research/audit/clean-room-bootstrap-verification.md	8	[CONFIRMED]	- **Bootstrap Verdict**: `CONFIRMED-WITH-PATCH`
research/audit/framework-verification-status.md	2	[SUPERSEDED]	status: SUPERSEDED — SEMANTIC DRIFT
research/audit/framework-verification-status.md	3	[CONFIRMED]	reason: Prematurely marked all framework layers CONFIRMED before running clean-room experiments in the reform lab.
research/audit/framework-verification-status.md	4	[SUPERSEDED]	superseded_by: research/audit/MIGRATION_GAP_AUDIT.md
research/audit/framework-verification-status.md	10	[SUPERSEDED]	epistemic_status: SUPERSEDED
research/audit/framework-verification-status.md	13	[SUPERSEDED]	# [SUPERSEDED] Framework Verification Status Matrix
research/audit/framework-verification-status.md	15	[SUPERSEDED]	> ⚠️ **NOTICE**: This audit status document has been **SUPERSEDED**.
research/audit/framework-verification-status.md	16	[CONFIRMED]	> The premature `CONFIRMED` ratings assigned during bootstrap reconnaissance failed to reflect clean-room experimental gaps.
research/audit/framework-verification-status.md	17	[CANONICAL]	> **Canonical Replacement**: [`research/audit/MIGRATION_GAP_AUDIT.md`](../audit/MIGRATION_GAP_AUDIT.md)
research/audit/framework-verification-status.md	21	[HISTORICAL]	## Historical Draft Matrix (Preserved for Audit Trail)
research/audit/framework-verification-status.md	25	[SUPERSEDED]	| **Artifact Substrate** | `SUPERSEDED-DRAFT` | Filesystem state in Git |
research/audit/framework-verification-status.md	26	[SUPERSEDED]	| **Stigmergic Coordination** | `SUPERSEDED-DRAFT` | Environment-mediated state |
research/audit/framework-verification-status.md	27	[CURRENT]	| **Current-State Compilation** | `SUPERSEDED-DRAFT` | Static compiler |
research/audit/framework-verification-status.md	28	[SUPERSEDED]	| **Software 3.0 Governance** | `SUPERSEDED-DRAFT` | Markdown protocols |
research/audit/framework-verification-status.md	29	[SUPERSEDED]	| **Controlled AutoResearch** | `SUPERSEDED-DRAFT` | Evaluation logs |
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	2	[HISTORICAL]	status: HISTORICAL_FAILURE / EVIDENCE_ONLY
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	3	[HISTORICAL]	authority: historical-evidence-only
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	4	[CURRENT]	must_not_be_used_as_current_doctrine: true
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	5	[CURRENT]	superseded_by: state/CURRENT_PHASE.md
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	41	[HISTORICAL]	- `[LEGACY-RESEARCH-SYNTHESIS]`: Historical synthesis documents from earlier reconnaissance phases stored in `evidence/synthesis/`.
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	42	[CURRENT]	- `[CURRENT-DOCTRINE]`: Formally ratified clean-room specifications (`CHARTER.md`, `INVARIANTS.md`, `REVOLUTION.md`, `FIVE_POINT_FRAMEWORK.md`).
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	49	[COMPLETE]	## Section II: Overall System Structure & Complete Task Lifecycle
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	51	[CURRENT]	### 1. Architectural Foundation: One World Substrate + Four Orthogonal Layers `[CURRENT-DOCTRINE]` `[CLAIM-007]`
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	53	[CURRENT]	The "Four-Layer One-World" architecture is **NOT** a collection of five parallel or equivalent components `[CURRENT-DOCTRINE]` `[CLAIM-007]`.
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	60	[CURRENT]	World --> Layer2["Layer 2: LLM Wiki / Current Knowledge System"]
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	65	[CURRENT]	- **The Persistent Artifact World Runtime** is the container and persistent environment `[CURRENT-DOCTRINE]`. It survives indefinitely across ephemera
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	67	[CURRENT]	- **LLM Wiki / Current Knowledge System** governs **knowledge compilation and truth tracking** `[PRIMARY-PUBLIC-SOURCE: Karpathy Gist 442a6bf555914893
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	83	[READY]	Agent inspects task directory -> Finds task file with `Status: READY` (Dependencies resolved)
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	103	[CURRENT]	Operator background compiler reads `raw/logs/exec_101.log` -> Updates `wiki/entities/cc-connect.md` & `CURRENT_STATE.md`
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	104	[CURRENT]	-> Layer 2 (LLM Wiki) | Artifact: `CURRENT_STATE.md` | Modifier: Compiler | Trace: Recompiled with provenance link
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	134	[CURRENT]	- **Software Adaptation**: In multi-agent LLM systems, agents coordinate by modifying persistent file artifacts rather than passing transient context 
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	138	[CURRENT]	### 3. LLM Wiki / Current Knowledge System `[PRIMARY-PUBLIC-SOURCE]` `[CLAIM-003]`
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	141	[CURRENT]	- **Nexus Reform Extension**: Extended to handle multi-source conflict reconciliation, explicit contradiction registers, and cryptographic SHA-256 pro
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	148	[CURRENT]	- **Nexus Institutionalization**: Treats natural language protocols as versioned software assets with IDs, versions, scopes, inputs/outputs, precedenc
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	149	[CURRENT]	- **Immutable Security Boundary**: Software 3.0 does NOT replace deterministic code, databases, transaction boundaries, or security enforcement mechan
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	156	[CURRENT]	- **Nexus Adaptation**: Adapted for closed-loop protocol optimization under strict external evaluation and single-variable discipline `[CURRENT-DOCTRI
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	164	[CURRENT]	| **HELLO / Re-entry** | `UNVERIFIED — SOURCE NOT LOCATED` `[CLAIM-008]` | `disk_census_manifest.txt` `[LOCAL-PRIMARY-EVIDENCE]` | Ephemeral agent re-
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	165	[CURRENT]	| **Persistent Artifact World** | Karpathy Gist `442a6bf555...` `[PRIMARY-PUBLIC-SOURCE]` | `disk_census_manifest.txt` `[LOCAL-PRIMARY-EVIDENCE]` `[CL
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	166	[CURRENT]	| **Stigmergy** | Grassé (1959), Theraulaz (1999) `[PRIMARY-PUBLIC-SOURCE]` `[CLAIM-001]` | `beads_clean_001_command_log.jsonl` `[LOCAL-PRIMARY-EVIDEN
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	167	[CURRENT]	| **LLM Wiki** | Karpathy Gist `442a6bf555...` `[PRIMARY-PUBLIC-SOURCE]` `[CLAIM-003]` | `slice_0_evaluation.md` `[LEGACY-RESEARCH-SYNTHESIS]` `[CLAIM
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	168	[CURRENT]	| **Software 3.0** | Karpathy (2017/2025) essays `[PRIMARY-PUBLIC-SOURCE]` `[CLAIM-002]` | `REVOLUTION.md` `[CURRENT-DOCTRINE]` | Governed natural lan
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	169	[CURRENT]	| **AutoResearch** | `karpathy/autoresearch` `[PRIMARY-PUBLIC-SOURCE]` `[CLAIM-004]` | `beads_clean_001_command_log.jsonl` `[LOCAL-PRIMARY-EVIDENCE]` 
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	188	[CURRENT]	- **Four-Layer One-World Synthesis**: Synthesizes public prior art with local experimental findings into a single unified clean-room doctrine (`FIVE_P
research/examinations/FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md	189	[CURRENT]	- **Contradiction Registers & Cryptographic Provenance Links**: Nexus extension to Karpathy's LLM Wiki pattern `[CURRENT-DOCTRINE]`.
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	19	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	34	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	49	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	64	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	79	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	94	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	124	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	137	[HISTORICAL]	"supports": "Reconciliation of two-file start claims across historical sandbox runs.",
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	139	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	154	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	169	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	184	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	199	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	212	[HISTORICAL]	"supports": "Historical rejection of initial Slice 0 verdict and downgrade to INCONCLUSIVE.",
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	214	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	218	[CURRENT]	"evidence_type": "CURRENT-DOCTRINE",
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	220	[CANONICAL]	"title": "FIVE_POINT_FRAMEWORK.md (Canonical Doctrine Repair 0.2.1)",
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	228	[HISTORICAL]	"does_not_support": "Historical proof of implementation prior to clean-room testing.",
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	229	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	233	[CURRENT]	"evidence_type": "CURRENT-DOCTRINE",
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	243	[HISTORICAL]	"does_not_support": "Historical claims of earlier system realization.",
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	244	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	255	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	264	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	273	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	282	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	291	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	300	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	306	[CURRENT]	"evidence_type": "CURRENT-DOCTRINE",
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	309	[CONFIRMED]	"epistemic_status": "CONFIRMED"
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	317	[HISTORICAL]	"does_not_support": "Does not support historical public origin claims for HELLO.md.",
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	322	[CONFIRMED]	"public_primary_confirmed": 6,
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	323	[CONFIRMED]	"local_primary_confirmed": 4,
research/examinations/FOUR_LAYER_ONE_WORLD_SOURCE_REGISTER.json	325	[CURRENT]	"current_doctrine": 2,
research/examinations/evidence/local/beads_clean_001_issue_graph.json	7	[HISTORICAL]	epistemic_status: HISTORICAL-FAILURE
research/examinations/evidence/local/beads_clean_001_issue_graph.json	217	[SUPERSEDED]	"title": "L-0662: Session state ledger specification (superseded by L-0660)",
research/examinations/evidence/local/disk_census_manifest.txt	7	[CONFIRMED]	epistemic_status: CONFIRMED
research/examinations/evidence/local/pilot_run_trace_summary.txt	7	[CONFIRMED]	epistemic_status: CONFIRMED
research/examinations/evidence/local/sandbox_runs_manifest.txt	7	[CONFIRMED]	epistemic_status: CONFIRMED
research/examinations/evidence/public/grasse_1959_stigmergy.txt	5	[CANONICAL]	Canonical URL: https://link.springer.com/article/10.1007/BF02223791
research/examinations/evidence/public/karpathy_autoresearch_readme.md	3	[CANONICAL]	Canonical Repository: https://github.com/karpathy/autoresearch
research/examinations/evidence/public/karpathy_llm_wiki_gist.txt	3	[CANONICAL]	Canonical URL: https://gist.github.com/karpathy/442a6bf555914893e9891c11519de94f
research/examinations/evidence/public/karpathy_llm_wiki_gist.txt	4	[CURRENT]	Quoted Anchor: "Instead of just retrieving from raw documents at query time, the LLM incrementally builds and maintains a persistent wiki — a structur
research/examinations/evidence/public/karpathy_software_2_0.txt	3	[CANONICAL]	Canonical URL: https://karpathy.ai/software20.html
research/examinations/evidence/public/karpathy_software_3_0.txt	3	[CANONICAL]	Canonical URL: https://huggingface.co/posts/karpathy/software30
research/examinations/evidence/public/theraulaz_1999_stigmergy.txt	5	[CANONICAL]	Canonical URL: https://doi.org/10.1162/106454699568700
research/examinations/evidence/synthesis/local_world_autonomy_boundary.md	7	[CONFIRMED]	epistemic_status: CONFIRMED
research/examinations/evidence/synthesis/local_world_evolution_lineage.md	7	[CONFIRMED]	epistemic_status: CONFIRMED
research/examinations/evidence/synthesis/local_world_evolution_lineage.md	12	[COMPLETE]	This findings document reconstructs the complete 9-stage evolutionary tree of the local World project based on multi-disk empirical evidence.
research/examinations/evidence/synthesis/local_world_evolution_lineage.md	49	[HISTORICAL]	- **Addition**: Pre-seeded 34 historical fragments (`fragment-001` to `fragment-034`) to observe source-soil interaction.
research/examinations/evidence/synthesis/slice_0_evaluation.md	7	[HISTORICAL]	epistemic_status: HISTORICAL-FAILURE
research/examinations/evidence/synthesis/slice_0_evaluation.md	13	[INCONCLUSIVE]	**Official Status:** **`STATIC-MOCK / INCONCLUSIVE — REFINE REQUIRED`**
research/examinations/evidence/synthesis/slice_0_evaluation.md	19	[COMPLETE]	Following Outside Reviewer Pass 1 and Pass 2 rulings (`PARSER: REJECTED — THREAD-ID HARDCODED`, `BEADS EXECUTION: PARTIAL`, `BLIND TEST: CLAIMED-NOT-E
research/examinations/evidence/synthesis/slice_0_evaluation.md	30	[CONFIRMED]	- Confirmed `runs/beads-clean-001/world/` contains ONLY `WORK_STATE.md` and ZERO apparatus files (`AGENTS.md`, `CLAUDE.md`, `.claude/`, `.codex/`, `.a
research/examinations/evidence/synthesis/slice_0_evaluation.md	31	[CURRENT]	- Exported complete 11-task graph to `issue-graph-final.json` (5 closed, 6 open) and projected into `CURRENT_STATE.md`.
research/examinations/evidence/synthesis/slice_0_evaluation.md	40	[COMPLETE]	**Verdict:** **`STATIC-MOCK / INCONCLUSIVE`** (Pass 2 Evidence Repair Complete; awaiting authorization for Slice 1).
research/findings/prior-art-audit-findings.md	8	[CONFIRMED]	epistemic_status: CONFIRMED
research/findings/prior-art-audit-findings.md	22	[HISTORICAL]	- Multiple historical world iterations and seeds (`world`, `pilot run`, `detached room`, `Continuity`).
research/findings/slice-0-correction-note.md	7	[HISTORICAL]	migration_reason: Record historical failure and correction note from Slice 0 evaluation.
research/findings/slice-0-correction-note.md	8	[HISTORICAL]	epistemic_status: HISTORICAL-FAILURE
research/findings/slice-0-correction-note.md	14	[REJECTED]	> **Adjudication Result**: `REJECTED & WITHDRAWN` (Outside Reviewer Verdict)
research/findings/slice-0-correction-note.md	15	[CURRENT]	> **Current Status**: `HISTORICAL-FAILURE / INCONCLUSIVE`
research/legacy-evidence/failed-slice-0/CORRECTION_NOTE.md	7	[HISTORICAL]	epistemic_status: HISTORICAL-FAILURE
research/legacy-evidence/failed-slice-0/CORRECTION_NOTE.md	14	[REJECTED]	**Outside Reviewer Verdict:** **`REJECTED — INCONCLUSIVE (REFINE REQUIRED)`**
research/legacy-evidence/failed-slice-0/CORRECTION_NOTE.md	20	[REJECTED]	Per outside reviewer adjudication, the previous `KEEP` verdict is **formally withdrawn and rejected**. Slice 0 is downgraded to **`STATIC-MOCK / INCON
research/legacy-evidence/failed-slice-0/CORRECTION_NOTE.md	26	[COMPLETE]	4. **False Claims in Generated State**: The generated state output claims like "Production migration completed" and "None (Thread closed)", which cont
